sn,key_topic_id,key_topic,performance_signals_id,performance_signals,performance_signals_weightage,document_reques_id,document_request,interview_question_id,interview_question,data_point_id,data_point,assesment_criteria_id,assessment_criteria,assessment_criteria_weightage,assessment_guidelines/formula,scoring_matrix,scoring_matrix_1,scoring_matrix_2,scorecard_visualization,none,section_id,input_type,devco_id,description,default_value
9,DC-KT-01,Construction,DC-PS-01,Construction Planning Maturity,0.7,30.0,Site and Logistics Plan (including traffic simulations),DC-IQ-01,Have there been any shortfall in the Logistics Planning recognized after commencement of construction? And what mitigation measures have been put in place. Provide example,DC-DP-09,Completion of Traffic Simulations (Text),DC-AC-05,Have Traffic Simulations been completed in preparing the Site & Logistics Plan?,0.1,Completion of traffic simulations,Yes,,No,Used for Assessment and Dashboard,,Development & Construction,Text,admin,,
10,DC-KT-01,Construction,DC-PS-01,Construction Planning Maturity,0.7,18.0,Project Execution Plan (including packaging and phasing strategy),,,DC-DP-10,Date of latest approved Project Execution Plan (dd/mm/yy),DC-AC-06,Has the Project Execution Plan been updated and approved in the last 12 months?,0.1,Date of latest approved Project Execution Plan less than 12 months from Current Date,Yes,,No,Used for Assessment,Used for Assessment and Dashboard,Development & Construction,dd/mm/yy,admin,,
11,DC-KT-01,Construction,DC-PS-01,Construction Planning Maturity,0.7,18.0,Project Execution Plan (including packaging and phasing strategy),,,DC-DP-11,Packaging & Phasing Strategy (Text),,,,,,,,Used for Dashboard,Used for Assessment and Dashboard,Development & Construction,Text,admin,,
12,DC-KT-01,Construction,DC-PS-01,Construction Planning Maturity,0.7,18.0,Project Execution Plan (including packaging and phasing strategy),,,DC-DP-12,Execution & Site Logistics (Text),,,,,,,,Used for Dashboard,Used for Assessment and Dashboard,Development & Construction,Text,admin,,
13,DC-KT-01,Construction,DC-PS-01,Construction Planning Maturity,0.7,18.0,Project Execution Plan (including packaging and phasing strategy),,,DC-DP-13,Procurement Strategy (Text),,,,,,,,Used for Dashboard,Used for Assessment and Dashboard,Development & Construction,Text,admin,,
14,DC-KT-01,Construction,DC-PS-01,Construction Planning Maturity,0.7,31.0,"Interface Management Plan (including Stakeholder Management Plan*, Communication Plan & Contractor Staging Plan and Handover & Close-out Plan)",,,DC-DP-14,Number of Stakeholder MOU or Land Use Permits not executed on time (No.),DC-AC-07,% of Stakeholder MOU** / LUPs*** not executed in accordance with critical lead time,0.3,Number of Stakeholder MOU or Land Use Permits not executed on time/ Total number of Stakeholder MOU or Land Use Permits required,<20%,20-60%,>60%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
15,DC-KT-01,Construction,DC-PS-01,Construction Planning Maturity,0.7,31.0,"Interface Management Plan (including Stakeholder Management Plan*, Communication Plan & Contractor Staging Plan and Handover & Close-out Plan)",,,DC-DP-15,Total Stakeholder MOU or Land Use Permits required (No.),DC-AC-07,% of Stakeholder MOU** / LUPs*** not executed in accordance with critical lead time,0.3,Number of Stakeholder MOU or Land Use Permits not executed on time/ Total number of Stakeholder MOU or Land Use Permits required,<20%,20-60%,>60%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
16,DC-KT-01,Construction,DC-PS-01,Construction Planning Maturity,0.7,31.0,"Interface Management Plan (including Stakeholder Management Plan*, Communication Plan & Contractor Staging Plan and Handover & Close-out Plan)",,,DC-DP-16,Required area for land acquisition (No.),,,,,,,,Used for Assessment,,Development & Construction,No.,admin,,
17,DC-KT-01,Construction,DC-PS-01,Construction Planning Maturity,0.7,31.0,"Interface Management Plan (including Stakeholder Management Plan*, Communication Plan & Contractor Staging Plan and Handover & Close-out Plan)",,,DC-DP-17,Sufficient land acquired to align with requirements (No.),,,,,,,,Archived,,Development & Construction,No.,admin,,
18,DC-KT-01,Construction,DC-PS-01,Construction Planning Maturity,0.7,,,DC-IQ-02,What are the challenges in implementation of the Project Execution Plan and how are you managing those?,DC-DP-18,Project Execution Plan implementation challenges (Text),,,,,,,,Archived,,Development & Construction,Text,admin,,
19,DC-KT-01,Construction,DC-PS-01,Construction Planning Maturity,0.7,,,DC-IQ-02,What are the challenges in implementation of the Project Execution Plan and how are you managing those?,DC-DP-19,Mitigation of Project Execution Plan implementation challenges (Text),,,,,,,,Used for Assessment,,Development & Construction,Text,admin,,
20,DC-KT-01,Construction,DC-PS-01,Construction Planning Maturity,0.7,,,DC-IQ-03,"Have there been any setbacks with the required land acquisition? If so, what are they and how do you plan to overcome the issues?",DC-DP-20,Challenges faced with required land acquisition (Text),,,,,,,,Archived,,Development & Construction,Text,admin,,
21,DC-KT-01,Construction,DC-PS-01,Construction Planning Maturity,0.7,,,DC-IQ-04,Have any delays occurred due to stakeholder objections; how did you resolve the issue?,DC-DP-21,Occurred delays due to stakeholder objections (Text),,,,,,,,Used for Assessment,,Development & Construction,Text,admin,,
22,DC-KT-01,Construction,DC-PS-02,Workforce Resource Availability,0.3,32.0,Workforce Planning Strategy,,,DC-DP-22,Forecast workforce requirements (No.),DC-AC-08,% of Workforce Hired against Workforce Estimates,0.3,Actual workforce employed / forecast workforce requirements,>90%,70-90%,<70%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
23,DC-KT-01,Construction,DC-PS-02,Workforce Resource Availability,0.3,33.0,Construction Progress Report (including workforce numbers),,,DC-DP-23,Actual workforce employed (No.),DC-AC-08,% of Workforce Hired against Workforce Estimates,0.3,Actual workforce employed / forecast workforce requirements,>90%,70-90%,<70%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
24,DC-KT-01,Construction,DC-PS-02,Workforce Resource Availability,0.3,33.0,Construction Progress Report (including workforce numbers),,,DC-DP-24,Workforce Availability (Text),,,,,,,,Used for Assessment and Dashboard,,Development & Construction,Text,admin,,
25,DC-KT-01,Construction,DC-PS-02,Workforce Resource Availability,0.3,33.0,Construction Progress Report (including workforce numbers),,,DC-DP-25,Resource Availability (Text),,,,,,,,Used for Assessment and Dashboard,,Development & Construction,Text,admin,,
26,DC-KT-01,Construction,DC-PS-02,Workforce Resource Availability,0.3,,,DC-IQ-05,"Have there been any challenges with labor camp establishment, number, quality or provision of amenities in accordance with workforce estimates?",DC-DP-26,Forecast number of labor camps (No.),DC-AC-09,% of Labor Camp Capacity against Workforce Estimates,0.3,Actual number of labor camps / Forecast number of labor camps,>90%,70-90%,<70%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
27,DC-KT-01,Construction,DC-PS-02,Workforce Resource Availability,0.3,,,DC-IQ-05,"Have there been any challenges with labor camp establishment, number, quality or provision of amenities in accordance with workforce estimates?",DC-DP-27,Actual number of labor camps (No.),DC-AC-09,% of Labor Camp Capacity against Workforce Estimates,0.3,Actual number of labor camps / Forecast number of labor camps,>90%,70-90%,<70%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
28,DC-KT-01,Construction,DC-PS-02,Workforce Resource Availability,0.3,,,DC-IQ-05,"Have there been any challenges with labor camp establishment, number, quality or provision of amenities in accordance with workforce estimates?",DC-DP-28,"Forecast number of batching / crushing plants/ precast yards, etc. (No.)",DC-AC-10,% of Material Supply Capacity against Material Demand Estimates,0.4,Actual number of batching plants / forecast number of batching plants,>80%,40-80%,<40%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
29,DC-KT-01,Construction,DC-PS-02,Workforce Resource Availability,0.3,,,DC-IQ-05,"Have there been any challenges with labor camp establishment, number, quality or provision of amenities in accordance with workforce estimates?",DC-DP-29,"Actual number of batching / crushing plants/ precast yards, etc. (No.)",DC-AC-10,% of Material Supply Capacity against Material Demand Estimates,0.4,Actual number of batching plants / forecast number of batching plants,>80%,40-80%,<40%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
30,DC-KT-01,Construction,DC-PS-02,Workforce Resource Availability,0.3,,,DC-IQ-06,"Have there been any challenges in hiring the required skilled labor workforce, how do you plan to overcome this?",DC-DP-30,Challenges in hiring the required skilled labor workforce (Text),,,,,,,,Archived,,Development & Construction,Text,admin,,
31,DC-KT-01,Construction,DC-PS-02,Workforce Resource Availability,0.3,,,DC-IQ-07,How do you track and record workforce retention and turnover rate?,DC-DP-31,Workforce retention track record (No.),,,,,,,,Used for Assessment,,Development & Construction,No.,admin,,
32,DC-KT-01,Construction,DC-PS-02,Workforce Resource Availability,0.3,,,DC-IQ-07,How do you track and record workforce retention and turnover rate?,DC-DP-32,Turnover rate track record (No.),,,,,,,,Used for Assessment,,Development & Construction,No.,admin,,
33,DC-KT-01,Construction,DC-PS-02,Workforce Resource Availability,0.3,,,DC-IQ-08,How do you track and record plant / equipment downtime?,DC-DP-33,Plant/equipment downtime track record (No.),,,,,,,,Used for Assessment,,Development & Construction,No.,admin,,
34,DC-KT-02,Quality,DC-PS-03,Adherence to Design,0.7,34.0,Register of Technical Queries,,,DC-DP-34,Time taken for closure of technical queries (No.),DC-AC-11,Did DevCo adhere to Technical Submittals Review Cycle Time (RCT)?,0.1,Adherence to Technical Submittals Review Cycle Time,Yes,,No,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
35,DC-KT-02,Quality,DC-PS-03,Adherence to Design,0.7,34.0,Register of Technical Queries,,,DC-DP-35,Technical Submittal Review Cycle Time (RCT) (No.),DC-AC-11,Did DevCo adhere to Technical Submittals Review Cycle Time (RCT)?,0.1,Adherence to Technical Submittals Review Cycle Time,Yes,,No,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
,DC-KT-02,Quality,DC-PS-03,Adherence to Design,0.7,34.0,Register of Technical Queries,,,DC-DP-36,Number of technical queries raised (No.),,,,,,,,Used for Assessment,,Development & Construction,No.,admin,,
,DC-KT-02,Quality,DC-PS-03,Adherence to Design,0.7,34.0,Register of Technical Queries,,,DC-DP-37,Number of technical queries closed (No.),,,,,,,,Used for Assessment,,Development & Construction,No.,admin,,
38,DC-KT-02,Quality,DC-PS-03,Adherence to Design,0.7,35.0,Register of Shop Drawing Reviews,,,DC-DP-38,Total number of shop drawing review requests (No.),DC-AC-12,% of approved shop drawing reviews vs planned,0.15,Total number of shop drawing reviews approved / Total number of shop drawing review requests,>90%,60-90%,<60%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
39,DC-KT-02,Quality,DC-PS-03,Adherence to Design,0.7,35.0,Register of Shop Drawing Reviews,,,DC-DP-39,Total number of shop drawing reviews approved (No.),DC-AC-12,% of approved shop drawing reviews vs planned,0.15,Total number of shop drawing reviews approved / Total number of shop drawing review requests,>90%,60-90%,<60%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
40,DC-KT-02,Quality,DC-PS-03,Adherence to Design,0.7,35.0,Register of Shop Drawing Reviews,,,DC-DP-40,Average time to complete shop drawing reviews (No.),,,,,,,,Used for Assessment,,Development & Construction,No.,admin,,
41,DC-KT-02,Quality,DC-PS-03,Adherence to Design,0.7,35.0,Register of Shop Drawing Reviews,,,DC-DP-41,Number of shop drawing review conducted (No.),,,,,,,,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
42,DC-KT-02,Quality,DC-PS-03,Adherence to Design,0.7,36.0,Register of Material & Product Approval / Change Requests,,,DC-DP-42,Total number of product sample & material approvals requested (No.),DC-AC-13,% of approved product waivers vs product specified,0.15,Total number of product sample & materials approved / Total number of product sample & material approvals requested,>90%,60-90%,<60%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
43,DC-KT-02,Quality,DC-PS-03,Adherence to Design,0.7,36.0,Register of Material & Product Approval / Change Requests,,,DC-DP-43,Total number of product sample & materials approved (No.),DC-AC-13,% of approved product waivers vs product specified,0.15,Total number of product sample & materials approved / Total number of product sample & material approvals requested,>90%,60-90%,<60%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
44,DC-KT-02,Quality,DC-PS-03,Adherence to Design,0.7,36.0,Register of Material & Product Approval / Change Requests,,,DC-DP-44,Number of material / product substitution requests (No.),,,,,,,,Used for Assessment,,Development & Construction,No.,admin,,
45,DC-KT-02,Quality,DC-PS-03,Adherence to Design,0.7,36.0,Register of Material & Product Approval / Change Requests,,,DC-DP-45,Average time to approve product sample & materials (No.),,,,,,,,Used for Assessment,,Development & Construction,No.,admin,,
46,DC-KT-02,Quality,DC-PS-03,Adherence to Design,0.7,36.0,Register of Material & Product Approval / Change Requests,,,DC-DP-46,Product & Material Approval Rate (No.),,,,,,,,Archived,,Development & Construction,No.,admin,,
47,DC-KT-02,Quality,DC-PS-03,Adherence to Design,0.7,37.0,Register of As-Built Drawings,,,DC-DP-47,Number of As-Built Drawing review requests (No.),DC-AC-14,% of Certified As-Built Drawing Packages vs Planned,0.2,Number of As-built reviews / approvals / Number of As-Built review requests,>80%,60-80%,<60%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
48,DC-KT-02,Quality,DC-PS-03,Adherence to Design,0.7,37.0,Register of As-Built Drawings,,,DC-DP-48,Number of As-Built Drawings reviews approved (No.),DC-AC-14,% of Certified As-Built Drawing Packages vs Planned,0.2,Number of As-built reviews / approvals / Number of As-Built review requests,>80%,60-80%,<60%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
49,DC-KT-02,Quality,DC-PS-03,Adherence to Design,0.7,37.0,Register of As-Built Drawings,,,DC-DP-49,Number of As-built rejections / iterations for approval (No.),,,,,,,,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
50,DC-KT-02,Quality,DC-PS-03,Adherence to Design,0.7,37.0,Register of As-Built Drawings,,,DC-DP-50,Average time to approve As-built rejections / iterations (No.),,,,,,,,Used for Assessment,,Development & Construction,No.,admin,,
51,DC-KT-02,Quality,DC-PS-03,Adherence to Design,0.7,37.0,Register of As-Built Drawings,,,DC-DP-51,Number of as-built drawing review conducted (No.),,,,,,,,Used for Dashboard,,Development & Construction,No.,admin,,
52,DC-KT-02,Quality,DC-PS-03,Adherence to Design,0.7,38.0,Register of Material Inspection Requests,,,DC-DP-52,Total number of MIRs requested (No.),DC-AC-15,MIR Inspection Rate,0.1,Number of MIR Inspected / Total number of MIRs requested,>80%,60-80%,<60%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
53,DC-KT-02,Quality,DC-PS-03,Adherence to Design,0.7,38.0,Register of Material Inspection Requests,,,DC-DP-53,Total number of MIRs inspected (No.),DC-AC-15,MIR Inspection Rate,0.1,Number of MIR Inspected / Total number of MIRs requested,>80%,60-80%,<60%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
54,DC-KT-02,Quality,DC-PS-03,Adherence to Design,0.7,38.0,Register of Material Inspection Requests,,,DC-DP-54,Total number of MIRs approved (No).,DC-AC-16,MIR Acceptance and Approval Rate,0.1,Number of Approved MIR / Total number of MIRs requested,>80%,60-80%,<60%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
55,DC-KT-02,Quality,DC-PS-03,Adherence to Design,0.7,38.0,Register of Material Inspection Requests,,,DC-DP-55,Average time to complete MIRs and close out approvals (No.),,,,,,,,Used for Assessment,,Development & Construction,No.,admin,,
56,DC-KT-02,Quality,DC-PS-03,Adherence to Design,0.7,39.0,Register of Work Inspection Requests ,,,DC-DP-56,Total number of WIRs requested (No.),DC-AC-17,WIR Inspection Rate,0.1,Number of WIR Inspected / Total number of WIRs requested,>80%,60-80%,<60%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
57,DC-KT-02,Quality,DC-PS-03,Adherence to Design,0.7,39.0,Register of Work Inspection Requests ,,,DC-DP-57,Total number of WIRs inspected (No.),DC-AC-17,WIR Inspection Rate,0.1,Number of WIR Inspected / Total number of WIRs requested,>80%,60-80%,<60%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
58,DC-KT-02,Quality,DC-PS-03,Adherence to Design,0.7,39.0,Register of Work Inspection Requests ,,,DC-DP-58,Total number of WIRs approved (No.),DC-AC-18,WIR Acceptance and Approval Rate,0.1,Number of Approved WIR / Total number of WIRs requested,>80%,60-80%,<60%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
59,DC-KT-02,Quality,DC-PS-03,Adherence to Design,0.7,39.0,Register of Work Inspection Requests ,,,DC-DP-59,Average time to complete WIRs and close out approvals (No.),,,,,,,,Used for Assessment,,Development & Construction,No.,admin,,
60,DC-KT-02,Quality,DC-PS-03,Adherence to Design,0.7,,,DC-IQ-09,What are the reasons for any deviations from the approved design intent?,DC-DP-60,Approved design intent deviation's reasoning (Text),,,,,,,,Archived,,Development & Construction,Text,admin,,
61,DC-KT-02,Quality,DC-PS-03,Adherence to Design,0.7,,,DC-IQ-10,"Have there been delays in the approval's workflow, if so, what actions have been taken to resolve the delays?",DC-DP-61,Delays in the approval's workflow (Text),,,,,,,,Archived,,Development & Construction,Text,admin,,
62,DC-KT-02,Quality,DC-PS-03,Adherence to Design,0.7,,,DC-IQ-10,"Have there been delays in the approval's workflow, if so, what actions have been taken to resolve the delays?",DC-DP-62,Actions taken to resolve the delays (Text),,,,,,,,Archived,,Development & Construction,Text,admin,,
63,DC-KT-02,Quality,DC-PS-03,Adherence to Design,0.7,,,DC-IQ-11,Have material or product availability and lead times led to substitution requests?,DC-DP-63,Substitution requests due to material / product availability and lead times (No.),,,,,,,,Archived,,Development & Construction,No.,admin,,
64,DC-KT-02,Quality,DC-PS-04,Quality Assurance / Quality Control (QA/QC),0.3,40.0,Quality Management Manual (QMP),,,DC-DP-64,Required Audit frequency (Text),DC-AC-19,Does the frequency of Audits align with the QMP? ,0.4,Alignment of audit frequency,Yes,,No,Used for Assessment and Dashboard,,Development & Construction,Text,admin,,
65,DC-KT-02,Quality,DC-PS-04,Quality Assurance / Quality Control (QA/QC),0.3,41.0,"Latest Monthly Quality Report, including defects and NCR data",,,DC-DP-65,Total number of defects & NCRs (No.),DC-AC-20,% closure of Non-Conformance Reports (NCR),0.4,Number of Non-Conformance Reports Closed / Total Number of Non-Conformance Reports,>80%,60-80%,<60%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
66,DC-KT-02,Quality,DC-PS-04,Quality Assurance / Quality Control (QA/QC),0.3,41.0,"Latest Monthly Quality Report, including defects and NCR data",,,DC-DP-66,Total number of closed defects & NCRs (No.),DC-AC-20,% closure of Non-Conformance Reports (NCR),0.4,Number of Non-Conformance Reports Closed / Total Number of Non-Conformance Reports,>80%,60-80%,<60%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
67,DC-KT-02,Quality,DC-PS-04,Quality Assurance / Quality Control (QA/QC),0.3,41.0,"Latest Monthly Quality Report, including defects and NCR data",,,DC-DP-67,Average time to close NCRs (No.),DC-AC-21,Average NCRs closeout Cycle Time,0.2,Sum (NCR Closeout cycle time)/Total number of Non-Conformance Reports,<10 days,10-21 days,>21 days,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
68,DC-KT-02,Quality,DC-PS-04,Quality Assurance / Quality Control (QA/QC),0.3,41.0,"Latest Monthly Quality Report, including defects and NCR data",,,DC-DP-68,Number of NCRs open for between 30 and 60 days (No.),,,,,,,,Used for Dashboard,,Development & Construction,No.,admin,,
69,DC-KT-02,Quality,DC-PS-04,Quality Assurance / Quality Control (QA/QC),0.3,41.0,"Latest Monthly Quality Report, including defects and NCR data",,,DC-DP-69,Number of NCRs open for more than 60 days (No.),,,,,,,,Used for Dashboard,,Development & Construction,No.,admin,,
70,DC-KT-02,Quality,DC-PS-04,Quality Assurance / Quality Control (QA/QC),0.3,41.0,"Latest Monthly Quality Report, including defects and NCR data",,,DC-DP-70,No. of EOT days associated with claims due to defects and/or Non-Conformances (No.),,,,,,,,Archived,,Development & Construction,No.,admin,,
71,DC-KT-02,Quality,DC-PS-04,Quality Assurance / Quality Control (QA/QC),0.3,41.0,"Latest Monthly Quality Report, including defects and NCR data",,,DC-DP-71,Leadership engagement (Text),,,,,,,,Used for Dashboard,,Development & Construction,Text,admin,,
72,DC-KT-02,Quality,DC-PS-04,Quality Assurance / Quality Control (QA/QC),0.3,42.0,Inspection Test Plan (ITP),,,DC-DP-72,Total number of ITPs requested (No.),,,,,,,,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
73,DC-KT-02,Quality,DC-PS-04,Quality Assurance / Quality Control (QA/QC),0.3,42.0,Inspection Test Plan (ITP),,,DC-DP-73,Total number of ITPs attended (No.),,,,,,,,Used for Assessment,,Development & Construction,No.,admin,,
74,DC-KT-02,Quality,DC-PS-04,Quality Assurance / Quality Control (QA/QC),0.3,42.0,Inspection Test Plan (ITP),,,DC-DP-74,Total number of ITPs approved (No.),,,,,,,,Used for Assessment,,Development & Construction,No.,admin,,
75,DC-KT-02,Quality,DC-PS-04,Quality Assurance / Quality Control (QA/QC),0.3,42.0,Inspection Test Plan (ITP),,,DC-DP-75,Total number of ITPs completed (No.),,,,,,,,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
,DC-KT-02,Quality,DC-PS-04,Quality Assurance / Quality Control (QA/QC),0.3,43.0,Sample of project specific Project Quality Plan (PQP),,,,,,,,,,,,,,Development & Construction,Text,admin,,
76,DC-KT-02,Quality,DC-PS-04,Quality Assurance / Quality Control (QA/QC),0.3,44.0,Latest Quality Audit Report ,,,DC-DP-76,Total number Quality Reports required (No.),,,,,,,,Used for Assessment,,Development & Construction,No.,admin,,
77,DC-KT-02,Quality,DC-PS-04,Quality Assurance / Quality Control (QA/QC),0.3,44.0,Latest Quality Audit Report ,,,DC-DP-77,Total number Quality Reports completed (No.),,,,,,,,Used for Assessment,,Development & Construction,No.,admin,,
78,DC-KT-02,Quality,DC-PS-04,Quality Assurance / Quality Control (QA/QC),0.3,44.0,Latest Quality Audit Report ,,,DC-DP-78,Completeness of Quality Management Plan (Text),,,,,,,,Used for Dashboard,,Development & Construction,Text,admin,,
79,DC-KT-02,Quality,DC-PS-04,Quality Assurance / Quality Control (QA/QC),0.3,,,DC-IQ-12,What challenges are preventing ITP being inspected and signed off? What mitigation measured have been adopted?,DC-DP-79,Required number of ITPs signed off throughout construction (No.),,,,,,,,Archived,,Development & Construction,No.,admin,,
80,DC-KT-02,Quality,DC-PS-04,Quality Assurance / Quality Control (QA/QC),0.3,,,DC-IQ-13,What chellenges are preventing rectification of defects and NCRs? What mitigation measures have been adoped?,DC-DP-80,Total number of raised closed-out defects & NCRs (No.),,,,,,,,Used for Assessment,,Development & Construction,No.,admin,,
81,DC-KT-02,Quality,DC-PS-04,Quality Assurance / Quality Control (QA/QC),0.3,,,DC-IQ-14,"What are the challenges preventing adherence to the planned number of audits, what measures have you undertaken to resolve the challenges?",DC-DP-81,Challenges preventing adherence to the planned number of audits (Text),,,,,,,,Archived,,Development & Construction,No.,admin,,
82,DC-KT-02,Quality,DC-PS-04,Quality Assurance / Quality Control (QA/QC),0.3,,,DC-IQ-14,"What are the challenges preventing adherence to the planned number of audits, what measures have you undertaken to resolve the challenges?",DC-DP-82,Measures undertaken in resolving adherence prevention of number of audits planned (Text),,,,,,,,Archived,,Development & Construction,No.,admin,,
#REF!,DC-KT-03,Procurement,DC-PS-05,Procurement & Contracting Compliance,0.3,45.0,Procurement Management Plan (including annual procurement lookahead and pre-qualified vendor database),,,DC-DP-83,Number of Planned Procurement Packages (No.),DC-AC-22,% of procurement packages delivered within the planned lead times defined in the PMP,0.2,Number of Procurement Packages Delivered on Time / Number of Planned Procurement Packages,>80%,70-80%,40-70%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
,DC-KT-03,Procurement,DC-PS-05,Procurement & Contracting Compliance,0.3,45.0,Procurement Management Plan (including annual procurement lookahead and pre-qualified vendor database),,,DC-DP-84,Number of Procurement Packages Delivered on Time (No.),DC-AC-22,% of procurement packages delivered within the planned lead times defined in the PMP,0.2,Number of Procurement Packages Delivered on Time / Number of Planned Procurement Packages,>80%,70-80%,40-70%,Used for Assessment and Dashboard,,Development & Construction,No.,admin,,
,DC-KT-03,Procurement,DC-PS-05,Procurement & Contracting Compliance,0.3,45.0,Procurement Management Plan (including annual procurement lookahead and pre-qualified vendor database),,,DC-DP-85,Procurement Approach (Text) ,,,,,,,,Archived,,Development & Construction,Text,admin,,
